Card;Set;Buying Price;Buying Date;Note;PC@Purchase;Language;PC*10;price;change;sales_per_day
Spidops ex #243;Scarlet & Violet;55.0;09/04/2025;Card;6,41;English;64,1;6.22;0.23;0.0
Ancient Mew;Promo;300.0;17/04/2025;Card;54,00;English;540,00;54.11;1.61;10.0
Toxtricity GG09;Crown Zenith;20.0;23/04/2025;Card;;;0;2.36;-0.28;2.0
Surfing Pikachu V #8;Celebrations;20.0;23/04/2025;Card;;;0;2.59;0.22;2.0
Pikachu #5;Celebrations;20.0;23/04/2025;Card;;;0;2.73;0.67;3.0
Pikachu V #SWSH285;Promo;20.0;23/04/2025;Card;;;0;2.37;0.44;0.0
Pikachu VMax #SWSH286;Promo;20.0;23/04/2025;Card;;;0;3.53;0.37;2.0
Flying Pikachu VMAX #7;Celebrations;30.0;23/04/2025;Card;;;0;4.16;0.17;3.0
Surfing Pikachu VMAX #9;Celebrations;30.0;23/04/2025;Card;;;0;4.03;0.53;2.0
Pikachu ex #63;Paldea Evolved;30.0;23/04/2025;Card;;;0;2.25;-0.13;2.0
Pikachu V Union #SWSH139;Celebrations;40.0;23/04/2025;Card;;;0;7.26;0.64;0.0
Pikachu V Union #SWSH140;Celebrations;30.0;23/04/2025;Card;;;0;4.71;0.0;0.0
Pikachu V Union #SWSH141;Celebrations;40.0;23/04/2025;Card;;;0;9.46;0.97;0.0
Pikachu V Union #SWSH142;Celebrations;40.0;23/04/2025;Card;;;0;9.13;0.0;0.0
Frakt;Frakt;10.0;23/04/2025;;;;0;;;0.0
Bulbasaur #1;Go;2.0;28/04/2025;Card;;;0;1.23;0.0;0.0
Ivysaur #2;Go;2.0;28/04/2025;Card;;;0;1.12;0.0;0.0
Venusaur Holo #3;Go;;;;;;0;1.9;-0.07;0.0
Squirtle #15;Go;2.0;28/04/2025;Card;;;0;1.6;0.21;0.0
Wartortle #16;Go;2.0;28/04/2025;Card;;;0;1.25;-0.02;0.0
Blastoise Holo #17;Go;10.0;28/04/2025;Card;;;0;1.72;-0.15;2.0
